,aux_distance_0,aux_distance_1,aux_distance_2,aux_distance_3,aux_distance_4,aux_leg_0,aux_leg_1,aux_leg_2,aux_leg_3,aux_leg_4
A0_1,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
A0_2,1.0,-2.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
A1_2,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
A2_3,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0
A3_4,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0
A1_0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
A2_1,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
A3_2,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
A4_1,0.0,-1.0,2.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0
A4_2,0.0,0.0,-1.0,2.0,-1.0,0.0,0.0,1.0,0.0,-1.0
A4_3,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0
